"~id","~start_node_id","~end_node_id","~relationship_type"
"1152936897769636212","372","370","WROTE"
"1152936897769636213","373","370","WROTE"
"1152936897769636215","375","370","WROTE"
"1152936897769636217","377","374","WROTE"
"1152936897769636219","379","376","WROTE"
"1152936897769636221","381","378","WROTE"
"1152936897769636222","382","380","WROTE"
"1152936897769636223","383","380","WROTE"
"1152936897769636225","385","380","WROTE"
"1152936897769636227","387","384","WROTE"
"1152936897769636229","389","386","WROTE"
"1155188697583321477","389","390","WROTE"
"1157440497397006725","389","392","WROTE"
"1159692297210691973","389","394","WROTE"
"1161944097024377221","389","613","WROTE"
"1164195896838062469","389","804","WROTE"
"1166447696651747717","389","822","WROTE"
"1168699496465432965","389","951","WROTE"
"1170951296279118213","389","956","WROTE"
"1173203096092803461","389","957","WROTE"
"1175454895906488709","389","1026","WROTE"
"1177706695720173957","389","1028","WROTE"
"1179958495533859205","389","1038","WROTE"
"1182210295347544453","389","1046","WROTE"
"1184462095161229701","389","4117","WROTE"
"1186713894974914949","389","5437","WROTE"
"1188965694788600197","389","5495","WROTE"
"1191217494602285445","389","5691","WROTE"
"1193469294415970693","389","5985","WROTE"
"1195721094229655941","389","8440","WROTE"
"1152936897769636231","391","388","WROTE"
"1155188697583321479","391","540","WROTE"
"1157440497397006727","391","929","WROTE"
"1159692297210691975","391","930","WROTE"
"1161944097024377223","391","933","WROTE"
"1164195896838062471","391","1022","WROTE"
"1152936897769636235","395","393","WROTE"
"1155188697583321483","395","412","WROTE"
"1157440497397006731","395","519","WROTE"
"1159692297210691979","395","604","WROTE"
"1161944097024377227","395","607","WROTE"
"1164195896838062475","395","608","WROTE"
"1166447696651747723","395","1014","WROTE"
"1168699496465432971","395","1116","WROTE"
"1152936897769636239","399","396","WROTE"
"1155188697583321487","399","5970","WROTE"
"1152936897769636242","402","398","WROTE"
"1155188697583321490","402","6817","WROTE"
"1152936897769636245","405","401","WROTE"
"1155188697583321493","405","510","WROTE"
"1152936897769636247","407","404","WROTE"
"1155188697583321495","407","455","WROTE"
"1157440497397006743","407","470","WROTE"
"1159692297210691991","407","1947","WROTE"
"1161944097024377239","407","2067","WROTE"
"1164195896838062487","407","2084","WROTE"
"1166447696651747735","407","2094","WROTE"
"1168699496465432983","407","5357","WROTE"
"1170951296279118231","407","5402","WROTE"
"1173203096092803479","407","7674","WROTE"
"1175454895906488727","407","7835","WROTE"
"1177706695720173975","407","9553","WROTE"
"1152936897769636253","413","410","WROTE"
"1152936897769636256","416","415","WROTE"
"1152936897769636257","417","415","WROTE"
"1152936897769636258","418","415","WROTE"
"1152936897769636259","419","415","WROTE"
"1152936897769636261","421","415","WROTE"
"1155188697583321509","421","4777","WROTE"
"1152936897769636263","423","420","WROTE"
"1152936897769636266","426","422","WROTE"
"1155188697583321514","426","3574","WROTE"
"1157440497397006762","426","5969","WROTE"
"1152936897769636269","429","425","WROTE"
"1155188697583321517","429","3398","WROTE"
"1157440497397006765","429","6128","WROTE"
"1152936897769636272","432","428","WROTE"
"1155188697583321520","432","431","WROTE"
"1157440497397006768","432","465","WROTE"
"1159692297210692016","432","3054","WROTE"
